fname,aff/tps/homo,t1(A11/H11),t2(A12/H12),t3(A13/H13),t4(A21/H21),t5(A22/H22),t6(A23/H23),t7(H31),t8(H32),t9(H33),t10,t11,t12,t13,t14,t15,t16,t17,t18
CityScape_extra/leftImg8bit/train_extra/augsburg/augsburg_000000_000000_leftImg8bit.png,2,0.9247900139,-0.7772114466,168.050735004,0.1102277944,0.1750964118,132.1756260275,0.0006299934,-0.0016874114,1,0,0,0,0,0,0,0,0,0
CityScape_extra/leftImg8bit/train_extra/augsburg/augsburg_000000_000001_leftImg8bit.png,2,0.3654334178,-0.300847068,193.4490141311,0.0374392041,0.499705015,6.4064553894,-0.0006435211,-0.0004883595,1,0,0,0,0,0,0,0,0,0
CityScape_extra/leftImg8bit/train_extra/augsburg/augsburg_000000_000002_leftImg8bit.png,2,0.4788871423,0.7633060743,-80.7547173782,-0.3310831758,1.5202907431,20.7046102092,-0.0016338414,0.0021212553,1,0,0,0,0,0,0,0,0,0
CityScape_extra/leftImg8bit/train_extra/augsburg/augsburg_000000_000003_leftImg8bit.png,1,-1.2546009449,-0.7251707133,-1.0787209286,-0.1181253878,0.1930006318,-0.1904079816,1.0681894892,1.4377368913,0.8412588764,-0.8580520469,-0.1149018349,0.9799924229,-1.0052554556,-0.1537730193,0.7035032438,-1.4093002667,0.1606667358,0.8974206978
CityScape_extra/leftImg8bit/train_extra/augsburg/augsburg_000000_000004_leftImg8bit.png,2,0.5296453563,0.1837697252,11.406163146,-0.13467016,0.7070884939,69.0687670423,-0.0005921679,-0.000094725,1,0,0,0,0,0,0,0,0,0
CityScape_extra/leftImg8bit/train_extra/augsburg/augsburg_000000_000005_leftImg8bit.png,1,-1.0498408762,-1.0321963467,-1.1583719236,-0.169252649,0.3127742892,0.0173329559,0.8284836255,0.9867558622,0.55223111,-1.005759601,-0.0270900459,0.7646823351,-0.8736021337,0.1224949197,0.7258556231,-1.3554115512,0.1943581678,0.5233091436
CityScape_extra/leftImg8bit/train_extra/augsburg/augsburg_000000_000006_leftImg8bit.png,2,2.4410461102,0.0443675015,-347.1810566789,1.2945138129,1.8521551914,-514.5435133372,0.0017281501,9.39989439423556E-05,1,0,0,0,0,0,0,0,0,0
CityScape_extra/leftImg8bit/train_extra/augsburg/augsburg_000000_000007_leftImg8bit.png,2,-17.2029953093,-0.6696942174,3616.5693997193,-6.9341438912,-6.5261126249,2428.5796383453,-0.0243182113,0.0019885504,1,0,0,0,0,0,0,0,0,0
CityScape_extra/leftImg8bit/train_extra/augsburg/augsburg_000000_000008_leftImg8bit.png,2,0.3662229556,0.0580733109,34.0762559362,-0.3854258024,0.4970358629,168.482311975,-0.0010226035,0.0001035109,1,0,0,0,0,0,0,0,0,0
CityScape_extra/leftImg8bit/train_extra/augsburg/augsburg_000000_000009_leftImg8bit.png,2,0.1486573218,-0.0386330184,225.3891969604,-0.0924342781,0.6216411652,65.7330047238,-0.0007658999,9.84117204080319E-05,1,0,0,0,0,0,0,0,0,0
CityScape_extra/leftImg8bit/train_extra/augsburg/augsburg_000000_000010_leftImg8bit.png,1,-1.031540192,-0.9140944912,-1.0386984804,-0.0714087817,0.2973764725,-0.0405867633,0.6015835253,1.0563931679,0.7255847903,-1.1700377575,0.3172857557,0.9246219321,-1.2779258345,0.1375975883,1.2507592353,-0.7273348866,-0.0082116161,1.1004947929
CityScape_extra/leftImg8bit/train_extra/augsburg/augsburg_000000_000011_leftImg8bit.png,2,-0.0611589464,0.2858458688,165.0303307078,-0.50833812,0.8187453673,167.7816691785,-0.0015316442,0.0007165335,1,0,0,0,0,0,0,0,0,0
CityScape_extra/leftImg8bit/train_extra/augsburg/augsburg_000000_000012_leftImg8bit.png,2,2.0376319151,-0.5579253516,-146.2975932956,0.3732555571,0.7471583041,-28.6358749373,0.0016323001,-0.0014244294,1,0,0,0,0,0,0,0,0,0
CityScape_extra/leftImg8bit/train_extra/augsburg/augsburg_000000_000013_leftImg8bit.png,0,0.9581097364,-0.0576302893,0.079555653,-0.1212032288,0.8267500997,-0.0254139919,0,0,0,0,0,0,0,0,0,0,0,0
CityScape_extra/leftImg8bit/train_extra/augsburg/augsburg_000000_000014_leftImg8bit.png,2,0.8453593696,-0.2550808826,46.8214545345,-0.0441006539,1.1998580612,-63.5396377182,-0.0002681483,-7.92303764005996E-05,1,0,0,0,0,0,0,0,0,0
CityScape_extra/leftImg8bit/train_extra/augsburg/augsburg_000000_000015_leftImg8bit.png,2,1.6311141304,-0.4389445902,-71.7440029985,0.322737069,0.7930175537,-36.4805097451,0.0009487444,-0.000839424,1,0,0,0,0,0,0,0,0,0
CityScape_extra/leftImg8bit/train_extra/augsburg/augsburg_000000_000016_leftImg8bit.png,2,0.2908685434,-0.6215150427,267.3816297675,-0.0847744479,0.3472694322,83.5530172175,-0.0002445378,-0.0012303522,1,0,0,0,0,0,0,0,0,0
